Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-08,
Horizontal Delay,1.29557e-06,
Sample Interval,4e-10,
Record Length,10000,
Gating,16.7200% to 21.7300%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0.0708,
Vertical Scale,0.02,
Vertical Position,-1.02,
,,
,,
,,
Label,,
TIME,CH1,CH3
1.3917e-07,0.088,0
1.3957e-07,0.0888,0
1.3997e-07,0.088,-0.0016
1.4037e-07,0.0888,-0.0024
1.4077e-07,0.088,-0.0008
1.4117e-07,0.0896,-0.0008
1.4157e-07,0.0888,0
1.4197e-07,0.0896,0.0008
1.4237e-07,0.0888,0.0016
1.4277e-07,0.0888,0.0008
1.4317e-07,0.088,0
1.4357e-07,0.0872,-0.0008
1.4397e-07,0.0888,-0.0008
1.4437e-07,0.0888,-0.0008
1.4477e-07,0.0896,-0.0024
1.4517e-07,0.0896,-0.0008
1.4557e-07,0.0896,-0.0008
1.4597e-07,0.0904,0.0008
1.4637e-07,0.0896,0.0008
1.4677e-07,0.0888,0.0008
1.4717e-07,0.0888,0
1.4757e-07,0.0896,0
1.4797e-07,0.0896,-0.0008
1.4837e-07,0.0896,-0.0016
1.4877e-07,0.0904,-0.0016
1.4917e-07,0.0896,-0.0008
1.4957e-07,0.0888,0
1.4997e-07,0.088,0
1.5037e-07,0.088,0
1.5077e-07,0.0888,0
1.5117e-07,0.0904,0.0008
1.5157e-07,0.0904,0.0008
1.5197e-07,0.0888,0
1.5237e-07,0.0864,-0.0016
1.5277e-07,0.0848,-0.0024
1.5317e-07,0.0856,-0.0016
1.5357e-07,0.0896,-0.0016
1.5397e-07,0.0912,-0.0016
1.5437e-07,0.0912,-0.0008
1.5477e-07,0.0912,0
1.5517e-07,0.0912,0
1.5557e-07,0.0912,0.0008
1.5597e-07,0.0904,0
1.5637e-07,0.0888,0.0008
1.5677e-07,0.088,-0.0008
1.5717e-07,0.0888,-0.0008
1.5757e-07,0.0896,-0.0024
1.5797e-07,0.0904,-0.0024
1.5837e-07,0.0912,0
1.5877e-07,0.0904,0
1.5917e-07,0.0896,0.0008
1.5957e-07,0.088,0
1.5997e-07,0.0864,0.0008
1.6037e-07,0.0864,0
1.6077e-07,0.0864,-0.0016
1.6117e-07,0.0872,-0.0024
1.6157e-07,0.0872,-0.0008
1.6197e-07,0.088,-0.0016
1.6237e-07,0.0888,-0.0008
1.6277e-07,0.0896,-0.0008
1.6317e-07,0.0896,0
1.6357e-07,0.0896,0.0008
1.6397e-07,0.0888,0.0008
1.6437e-07,0.0888,0.0008

